"","Date","ActiveCameras","Site","Status","MonthDay","Year","Active"
"122",2020-03-15,2,"MS002","Inactive","03-15","2020","0"
"123",2020-03-15,2,"MS004","Active","03-15","2020","1"
"124",2020-03-15,2,"MS007","Inactive","03-15","2020","0"
"125",2020-03-15,2,"MS016","Inactive","03-15","2020","0"
"126",2020-03-15,2,"MS017","Inactive","03-15","2020","0"
"127",2020-03-15,2,"MS021","Inactive","03-15","2020","0"
"128",2020-03-15,2,"MS023","Inactive","03-15","2020","0"
"129",2020-03-15,2,"MS024","Inactive","03-15","2020","0"
"130",2020-03-15,2,"MS026","Inactive","03-15","2020","0"
"131",2020-03-16,2,"MS001","Active","03-16","2020","1"
"132",2020-03-16,2,"MS002","Inactive","03-16","2020","0"
"133",2020-03-16,2,"MS004","Active","03-16","2020","1"
"134",2020-03-16,2,"MS007","Inactive","03-16","2020","0"
"135",2020-03-16,2,"MS016","Inactive","03-16","2020","0"
"136",2020-03-16,2,"MS017","Inactive","03-16","2020","0"
"137",2020-03-16,2,"MS021","Inactive","03-16","2020","0"
"138",2020-03-16,2,"MS023","Inactive","03-16","2020","0"
"139",2020-03-16,2,"MS024","Inactive","03-16","2020","0"
"140",2020-03-16,2,"MS026","Inactive","03-16","2020","0"
"141",2020-03-17,2,"MS001","Active","03-17","2020","1"
"142",2020-03-17,2,"MS002","Inactive","03-17","2020","0"
"143",2020-03-17,2,"MS004","Active","03-17","2020","1"
"144",2020-03-17,2,"MS007","Inactive","03-17","2020","0"
"145",2020-03-17,2,"MS016","Inactive","03-17","2020","0"
"146",2020-03-17,2,"MS017","Inactive","03-17","2020","0"
"147",2020-03-17,2,"MS021","Inactive","03-17","2020","0"
"148",2020-03-17,2,"MS023","Inactive","03-17","2020","0"
"149",2020-03-17,2,"MS024","Inactive","03-17","2020","0"
"150",2020-03-17,2,"MS026","Inactive","03-17","2020","0"
"151",2020-03-18,2,"MS001","Active","03-18","2020","1"
"152",2020-03-18,2,"MS002","Inactive","03-18","2020","0"
"153",2020-03-18,2,"MS004","Active","03-18","2020","1"
"154",2020-03-18,2,"MS007","Inactive","03-18","2020","0"
"155",2020-03-18,2,"MS016","Inactive","03-18","2020","0"
"156",2020-03-18,2,"MS017","Inactive","03-18","2020","0"
"157",2020-03-18,2,"MS021","Inactive","03-18","2020","0"
"158",2020-03-18,2,"MS023","Inactive","03-18","2020","0"
"159",2020-03-18,2,"MS024","Inactive","03-18","2020","0"
"160",2020-03-18,2,"MS026","Inactive","03-18","2020","0"
"161",2020-03-19,2,"MS001","Active","03-19","2020","1"
